Nombre Pilar,Categor’a,Pregunta,Respuesta,Descripci—n,Ejemplo,Nivel de respuesta (1 a 5)
01. Estrategia y Definici—n de Valor,01. Visi—n digital organizacional,01. ÀLa organizaci—n tiene una visi—n digital claramente definida?,No existe una visi—n digital clara. Cada ‡rea opera de forma aislada.,"La organizaci—n carece de una visi—n digital definida. No hay documentos estrat?gicos ni mensajes claros sobre hacia d—nde se dirige digitalmente. Las iniciativas tecnol—gicas surgen de forma aislada, lo que impide aprovechar sinergias entre ‡reas y responde m‡s a presiones externas que a una ruta planificada.",Cada departamento desarrolla su propia estrategia digital sin coordinaci—n o alineaci—n organizacional.,1
01. Estrategia y Definici—n de Valor,01. Visi—n digital organizacional,01. ÀLa organizaci—n tiene una visi—n digital claramente definida?,"Existe una intenci—n de digitalizaci—n, pero sin una visi—n formal.","La digitalizaci—n se menciona como aspiraci—n, pero no est‡ formalmente articulada. Aunque algunos l’deres promueven ideas de transformaci—n digital, no existe una visi—n concreta ni mecanismos de comunicaci—n y despliegue.","En reuniones se habla de digitalizaci—n como un ideal, pero no hay un plan que lo respalde.",2
01. Estrategia y Definici—n de Valor,01. Visi—n digital organizacional,01. ÀLa organizaci—n tiene una visi—n digital claramente definida?,"Existe una visi—n digital b‡sica, alineada parcialmente al negocio.","Existe un esfuerzo inicial por definir una visi—n digital, que puede estar plasmada en algœn documento estrat?gico. Sin embargo, no est‡ alineada de forma directa con la estrategia de negocio y su apropiaci—n dentro de la organizaci—n es limitada.","Hay una visi—n redactada en una presentaci—n estrat?gica, pero no se ha operacionalizado ni comunicado a los equipos.",3
01. Estrategia y Definici—n de Valor,01. Visi—n digital organizacional,01. ÀLa organizaci—n tiene una visi—n digital claramente definida?,La visi—n digital est‡ formalizada y alineada a la estrategia organizacional.,"La visi—n digital ha sido establecida formalmente, es conocida por los l’deres clave y est‡ claramente vinculada a la estrategia del negocio. Sirve como gu’a para alinear inversiones y esfuerzos tecnol—gicos.",La visi—n digital aparece como uno de los pilares en el plan estrat?gico anual y es compartida con mandos medios.,4
01. Estrategia y Definici—n de Valor,01. Visi—n digital organizacional,01. ÀLa organizaci—n tiene una visi—n digital claramente definida?,La visi—n digital gu’a todas las ‡reas y se actualiza continuamente.,"La visi—n digital es una herramienta estrat?gica transversal. Es compartida, entendida y aplicada en toda la organizaci—n. Se revisa peri—dicamente y sirve como brœjula para decisiones tecnol—gicas y de negocio en todos los niveles.","Toda la organizaci—n conoce el roadmap digital, el cual est‡ vinculado a KPIs estrat?gicos y se ajusta semestralmente.",5
01. Estrategia y Definici—n de Valor,01. Visi—n digital organizacional,01. ÀLa visi—n digital est‡ formalmente documentada y es conocida por todos los niveles de la organizaci—n?,No existe una visi—n digital clara. Cada ‡rea opera de forma aislada.,La organizaci—n carece completamente de una visi—n digital documentada o comunicada. No hay consenso ni directriz comœn. Las decisiones digitales se toman por ‡reas sin alineaci—n ni visi—n compartida.,Cada ‡rea crea sus propias iniciativas digitales sin comunicaci—n transversal ni objetivos comunes.,1
01. Estrategia y Definici—n de Valor,01. Visi—n digital organizacional,01. ÀLa visi—n digital est‡ formalmente documentada y es conocida por todos los niveles de la organizaci—n?,"Existe una intenci—n de digitalizaci—n, pero sin una visi—n formal.","Se reconoce la necesidad de transformarse digitalmente, pero la visi—n no ha sido traducida en un documento formal ni compartida ampliamente. La intenci—n existe, pero sin claridad ni estructura.","La direcci—n ha mencionado la importancia del cambio digital en foros internos, pero no existe un plan o visi—n compartida.",2
01. Estrategia y Definici—n de Valor,01. Visi—n digital organizacional,01. ÀLa visi—n digital est‡ formalmente documentada y es conocida por todos los niveles de la organizaci—n?,"Existe una visi—n digital b‡sica, alineada parcialmente al negocio.","Se ha redactado una primera versi—n de la visi—n digital, con conexiones generales a los objetivos del negocio. Sin embargo, no est‡ plenamente integrada ni es ampliamente conocida o utilizada.","Existe un documento con la visi—n digital en la intranet, pero no todos los mandos medios la conocen o aplican.",3
01. Estrategia y Definici—n de Valor,01. Visi—n digital organizacional,01. ÀLa visi—n digital est‡ formalmente documentada y es conocida por todos los niveles de la organizaci—n?,La visi—n digital est‡ formalizada y alineada a la estrategia organizacional.,La visi—n digital ha sido documentada y est‡ integrada al plan estrat?gico del negocio. Ha sido comunicada a mandos clave y sirve como gu’a para la priorizaci—n tecnol—gica.,"En la presentaci—n estrat?gica anual se muestra la visi—n digital, y los proyectos deben justificar su alineaci—n.",4
01. Estrategia y Definici—n de Valor,01. Visi—n digital organizacional,01. ÀLa visi—n digital est‡ formalmente documentada y es conocida por todos los niveles de la organizaci—n?,La visi—n digital gu’a todas las ‡reas y se actualiza continuamente.,"La visi—n digital es din‡mica, reconocida por toda la organizaci—n y actualizada peri—dicamente. Sirve como herramienta para guiar inversiones, planes y decisiones estrat?gicas.",Todas las ‡reas operativas revisan su portafolio cada trimestre con base en la visi—n digital institucional.,5
01. Estrategia y Definici—n de Valor,01. Visi—n digital organizacional,01. ÀCada cu‡nto tiempo se revisa y actualiza la visi—n digital para adaptarse al entorno tecnol—gico?,No existe una visi—n digital clara. Cada ‡rea opera de forma aislada.,"No se ha definido una visi—n digital, y por tanto, no hay proceso de actualizaci—n ni revisi—n. Las decisiones se toman de forma reactiva y sin base estrat?gica.",No existe ningœn documento o foro que defina una direcci—n digital clara.,1
01. Estrategia y Definici—n de Valor,01. Visi—n digital organizacional,01. ÀCada cu‡nto tiempo se revisa y actualiza la visi—n digital para adaptarse al entorno tecnol—gico?,"Existe una intenci—n de digitalizaci—n, pero sin una visi—n formal.","Aunque existe inter?s en la transformaci—n digital, no se ha institucionalizado un proceso para revisar o actualizar su rumbo.","En reuniones de direcci—n se menciona la necesidad de digitalizarse, pero no hay acci—n formal.",2
01. Estrategia y Definici—n de Valor,01. Visi—n digital organizacional,01. ÀCada cu‡nto tiempo se revisa y actualiza la visi—n digital para adaptarse al entorno tecnol—gico?,"Existe una visi—n digital b‡sica, alineada parcialmente al negocio.","Hay una visi—n digital definida, pero no se revisa ni ajusta con base en el entorno o las necesidades del mercado.",La visi—n fue escrita hace tres a–os y no se ha modificado a pesar de los cambios en el sector.,3
01. Estrategia y Definici—n de Valor,01. Visi—n digital organizacional,01. ÀCada cu‡nto tiempo se revisa y actualiza la visi—n digital para adaptarse al entorno tecnol—gico?,La visi—n digital est‡ formalizada y alineada a la estrategia organizacional.,"Existe un mecanismo anual o bianual para revisar y validar la visi—n digital, asegurando su alineaci—n al entorno tecnol—gico y de negocio.","Durante el ciclo estrat?gico, la visi—n digital se revisa en los comit?s ejecutivos.",4
