Nombre Pilar,Categoría,Clasificación PASER,Tema,Pregunta,Respuesta,Descripción,Ejemplo,Nivel de respuesta (1 a 5)
04. Gente y Liderazgo para el Cambio,01. Liderazgo digital y sponsorship,01. Planeación,01. Compromiso del liderazgo con la transformación digital,01. ¿Qué tan comprometidos están los líderes de su organización con impulsar activamente la transformación digital?,Los líderes no muestran interés en iniciativas digitales.,"La transformación digital no está presente en la agenda directiva. No hay mensajes, recursos ni liderazgo visible orientado al cambio digital.",Los líderes priorizan temas operativos tradicionales y nunca abordan temas de digitalización en reuniones o comunicados.,1
04. Gente y Liderazgo para el Cambio,01. Liderazgo digital y sponsorship,01. Planeación,01. Compromiso del liderazgo con la transformación digital,01. ¿Qué tan comprometidos están los líderes de su organización con impulsar activamente la transformación digital?,El compromiso del liderazgo es bajo y reactivo.,"La alta dirección muestra cierto interés, pero solo responde ante presiones externas o necesidades urgentes, sin estrategia clara.",Solo se habla de digitalización al implementar una solución por obligación regulatoria o presión de mercado.,2
04. Gente y Liderazgo para el Cambio,01. Liderazgo digital y sponsorship,01. Planeación,01. Compromiso del liderazgo con la transformación digital,01. ¿Qué tan comprometidos están los líderes de su organización con impulsar activamente la transformación digital?,Algunos líderes impulsan iniciativas digitales clave con recursos limitados.,"Existen líderes interesados que impulsan proyectos aislados relacionados con lo digital, pero sin coordinación ni enfoque estratégico común.","Una dirección impulsa automatizaciones internas, pero no se articulan con otras áreas ni hay respaldo transversal.",3
04. Gente y Liderazgo para el Cambio,01. Liderazgo digital y sponsorship,01. Planeación,01. Compromiso del liderazgo con la transformación digital,01. ¿Qué tan comprometidos están los líderes de su organización con impulsar activamente la transformación digital?,"El liderazgo está alineado, impulsa activamente la estrategia digital y asigna recursos.","Los líderes impulsan activamente la transformación digital en sus áreas, asignan recursos y comunican de forma consistente su importancia.","En presentaciones de resultados, los directivos destacan avances digitales y promueven iniciativas alineadas con la estrategia.",4
04. Gente y Liderazgo para el Cambio,01. Liderazgo digital y sponsorship,01. Planeación,01. Compromiso del liderazgo con la transformación digital,01. ¿Qué tan comprometidos están los líderes de su organización con impulsar activamente la transformación digital?,"El compromiso es total, estratégico y transversal, con liderazgo activo en todas las áreas.","El liderazgo está alineado, promueve una visión digital compartida, destina recursos estratégicos y evalúa el impacto digital en sus decisiones clave.","Los líderes patrocinan el roadmap digital, monitorean avances regularmente y exigen iniciativas alineadas con la madurez tecnológica esperada.",5
04. Gente y Liderazgo para el Cambio,01. Liderazgo digital y sponsorship,01. Planeación,02. Visibilidad del liderazgo digital,01. ¿Qué tan visible es la participación del liderazgo en iniciativas de transformación digital?,No hay evidencia de participación visible del liderazgo en temas digitales.,El liderazgo no comunica ni se asocia con iniciativas digitales. Su involucramiento es nulo o inexistente para el resto de la organización.,Nadie en la organización podría mencionar un líder relacionado con la transformación digital.,1
04. Gente y Liderazgo para el Cambio,01. Liderazgo digital y sponsorship,01. Planeación,02. Visibilidad del liderazgo digital,01. ¿Qué tan visible es la participación del liderazgo en iniciativas de transformación digital?,La participación es ocasional y no tiene impacto visible en la organización.,"El liderazgo menciona ocasionalmente la importancia de lo digital, pero sin acciones visibles ni posicionamiento sostenido.","Se menciona ""digitalización"" en una reunión anual, pero no hay seguimiento ni referentes claros.",2
04. Gente y Liderazgo para el Cambio,01. Liderazgo digital y sponsorship,01. Planeación,02. Visibilidad del liderazgo digital,01. ¿Qué tan visible es la participación del liderazgo en iniciativas de transformación digital?,El liderazgo se involucra visiblemente en ciertas iniciativas digitales.,"Algunos líderes son identificados como impulsores de lo digital, aunque su visibilidad se limita a ciertos foros o niveles organizacionales.","En un comité interno se reconoce a un director como promotor digital, pero su mensaje no llega a toda la organización.",3
04. Gente y Liderazgo para el Cambio,01. Liderazgo digital y sponsorship,01. Planeación,02. Visibilidad del liderazgo digital,01. ¿Qué tan visible es la participación del liderazgo en iniciativas de transformación digital?,Hay comunicación constante y participación activa del liderazgo en foros digitales.,El liderazgo comunica regularmente su compromiso con la transformación digital y es percibido como impulsor del cambio.,"Directores publican avances digitales en canales internos, promueven espacios de innovación y se involucran en iniciativas.",4
04. Gente y Liderazgo para el Cambio,01. Liderazgo digital y sponsorship,01. Planeación,02. Visibilidad del liderazgo digital,01. ¿Qué tan visible es la participación del liderazgo en iniciativas de transformación digital?,"El liderazgo actúa como embajador digital, inspira e impulsa la transformación a todos los niveles.","El liderazgo es ampliamente reconocido como referente digital, promueve activamente el cambio y genera orgullo organizacional en torno al avance digital.","El CEO y líderes clave difunden logros digitales, participan en foros internos y externos, y representan una visión clara del futuro digital.",5
